id,title,grade,confidence,reason,repo,domain,proven_mentions,refuted_mentions,n6_constants,n6_keywords,min_error_pct,max_z,coincidence,file_lines
TECS-L:089,Can the System Exceed 1? ❌,🟩,0.7,existing auto-grade EXACT,TECS-L,,0,0,5,66,,,0,352
TECS-L:096,Brain Data Verification — Neurobiological Predictions of the Golden Zone,🟧,0.45,orange marker in text,TECS-L,,0,0,8,0,,,0,295
TECS-L:097,LLM Internal Activity Measurement — Mixtral Expert Pattern Analysis,🟩,0.7,existing auto-grade EXACT,TECS-L,,0,0,5,1,,,0,212
TECS-L:126,Golden MoE + LSTM Combination ❌,🟧,0.6,existing auto-grade CLOSE,TECS-L,,0,0,2,1,,,0,141
TECS-L:129,Phase Transition Critical Region = Golden Zone,🟧,0.5,error 1.0%,TECS-L,,0,0,2,0,1.0,,1,118
TECS-L:130,Boltzmann Constant k=1 Is a Necessity of Natural Units,🟧,0.4,significance claimed + verification,TECS-L,,0,0,1,0,,,0,118
TECS-L:132,Second Law of Thermodynamics = Meta-Convergence,🟧,0.4,significance claimed + verification,TECS-L,,0,0,2,0,,,0,161
TECS-L:133,Quantum Superposition ↔ Complex Genius ⚠️,🟧,0.4,significance claimed + verification,TECS-L,,0,0,0,0,,,0,137
TECS-L:134,Black Hole ↔ Blind Spot 1/6 ⚠️,🟧,0.4,significance claimed + verification,TECS-L,,0,0,1,0,,,0,140
TECS-L:135,E=mc² ↔ G=D×P/I ⚠️,🟧,0.4,significance claimed + verification,TECS-L,,0,0,2,0,,,0,150
TECS-L:137,Is P≠NP Gap Applicable to NP Heuristics?,⚪,0.55,inconclusive in title,TECS-L,,0,0,1,0,,,0,53
TECS-L:138,Shannon Entropy ↔ ln(3),🟧,0.4,significance claimed + verification,TECS-L,,0,0,1,0,,,0,65
TECS-L:139,Golden Zone = Edge of Chaos,,0.0,insufficient signal,TECS-L,,0,0,1,0,,,0,66
TECS-L:140,Golden MoE Algorithm Complexity,🟧,0.6,existing auto-grade CLOSE,TECS-L,,0,0,2,2,,,0,55
TECS-L:141,Information Bottleneck ↔ Golden Zone,🟧,0.4,significance claimed + verification,TECS-L,,0,0,0,0,,,0,59
TECS-L:142,Halting Problem ↔ Meta-Repetition Convergence,,0.0,insufficient signal,TECS-L,,0,0,0,0,,,0,65
TECS-L:143,Black Hole Entropy = Golden Zone Boundary Area,🟧,0.6,existing auto-grade CLOSE,TECS-L,,0,0,2,1,,,0,74
TECS-L:144,Hawking Radiation = Curiosity (F2e),🟧,0.6,existing auto-grade CLOSE,TECS-L,,0,0,3,2,,,0,46
TECS-L:145,Micro-Macro Boundary = Golden Zone Transition,,0.0,insufficient signal,TECS-L,,0,0,0,0,,,0,83
TECS-L:146,Decoherence = Inhibition,🟧,0.6,existing auto-grade CLOSE,TECS-L,,0,0,3,1,,,0,55
TECS-L:149,Universe Curvature and Golden Zone Upper Bound Critical Point Correspondence,⚪,0.5,high coincidence warnings,TECS-L,,0,0,3,0,,,3,126
TECS-L:151,Big Bang Inflation = Golden Zone Entry Phase Transition,⚪,0.5,high coincidence warnings,TECS-L,,0,0,2,0,,,3,140
TECS-L:152,Dark Energy w=-1 and Model Fixed Point I*=1/3 Correspondence,🟧,0.5,error 1.0%,TECS-L,,0,2,5,12,1.0,,4,299
TECS-L:153,Hubble Tension and Model Error Correspondence,🟩,0.5,existing auto-grade EXACT,TECS-L,,0,1,3,1,0.8,,2,182
TECS-L:155,GABA Concentration and Inhibition Mapping,🟩,0.5,existing auto-grade EXACT,TECS-L,,0,0,4,1,,,0,114
TECS-L:156,Sylvian Fissure Deficit and Deficit Mapping,🟧,0.55,Z=2sigma (marginal),TECS-L,,0,0,2,0,,2.0,0,130
TECS-L:157,Synaptic Plasticity (LTP/LTD) and Plasticity Mapping,🟧,0.4,significance claimed + verification,TECS-L,,0,0,4,0,,,0,143
TECS-L:158,Brainwave Frequency Bands and Boltzmann Temperature Mapping,🟩,0.5,existing auto-grade EXACT,TECS-L,,0,0,4,1,,,1,148
TECS-L:159,Meditation and Meta-Recursive Structure,🟧,0.4,significance claimed + verification,TECS-L,,0,0,3,0,,,0,136
TECS-L:160,Neurodiversity Population Ratio and Golden Zone Triple Alignment,⚪,0.3,has verification but no clear grade signal,TECS-L,,0,0,3,0,,,2,149
TECS-L:161,Left-Right Brain Specialization and I/D Mapping,🟩,0.5,existing auto-grade EXACT,TECS-L,,0,0,4,1,,,0,135
TECS-L:162,Acquired Savants and Sudden Golden Zone Entry,🟧,0.4,significance claimed + verification,TECS-L,,0,0,3,0,,,1,172
TECS-L:163,Pre-Big Bang and I→∞ (Complete Inhibition),🟩,0.7,existing auto-grade EXACT,TECS-L,,0,1,5,1,,,0,162
TECS-L:164,Cyclic Universe and Golden Zone Oscillation,🟧,0.6,existing auto-grade CLOSE,TECS-L,,0,8,3,1,,,0,174
TECS-L:165-why-point-seven,Hypothesis #165: Why a=0.7?,🟧,0.6,existing auto-grade CLOSE,TECS-L,,0,0,3,1,0.0,,0,112
TECS-L:166-consciousness-definition,Hypothesis #166: Definition of Consciousness,🟧,0.4,significance claimed + verification,TECS-L,,0,0,6,0,,,0,241
TECS-L:167-verifiable-predictions,Hypothesis #167: 8 Verifiable Predictions,🟩,0.5,existing auto-grade EXACT,TECS-L,,0,0,2,1,,,0,185
TECS-L:168-quantum-superposition-coefficient,Hypothesis #168: Quantum Superposition Coefficient as a=0.7,🟧,0.4,significance claimed + verification,TECS-L,,0,0,1,0,5.0,,2,156
TECS-L:170-qutrit,Hypothesis #170: 3-State System = Qutrit,,0.0,insufficient signal,TECS-L,,0,0,2,0,,,0,166
TECS-L:172-conservation-law,Hypothesis #172: G×I = D×P Conservation Law,⚪,0.3,has verification but no clear grade signal,TECS-L,,0,0,2,0,,,0,174
TECS-L:175-why-one-half,Hypothesis #175: Why 1/2 Repeats,,0.0,insufficient signal,TECS-L,,0,0,4,0,,,0,213
TECS-L:189,Time = I Decrease,,0.0,insufficient signal,TECS-L,,0,0,2,0,,,0,115
TECS-L:190,Time Dilation ↔ I Rate of Change,🟧,0.6,existing auto-grade CLOSE,TECS-L,,0,0,3,1,,,0,119
TECS-L:191,Planck Time = Minimum Unit of Meta-iteration?,⚪,0.55,inconclusive in title,TECS-L,,0,1,1,0,,,0,147
TECS-L:192,"""This Present Moment"" = Fixed Point?",⚪,0.55,inconclusive in title,TECS-L,,0,2,0,0,,,0,143
TECS-L:193,Entropy Arrow = Meta Iteration Direction,🟧,0.4,significance claimed + verification,TECS-L,,0,0,0,0,,,0,155
TECS-L:194,Time Perception = Only Possible Within the Golden Zone?,🟩,0.5,existing auto-grade EXACT,TECS-L,,0,0,3,1,,,0,161
TECS-L:195-caffeine,Hypothesis #195: Caffeine = Slight I Decrease + Compass Increase,🟧,0.45,orange marker in text,TECS-L,,0,0,8,0,,,2,176
TECS-L:196-alcohol,Hypothesis #196: Alcohol = I Decrease + Compass Decrease,🟧,0.45,orange marker in text,TECS-L,,0,1,7,0,,,0,195
TECS-L:197-anesthesia,Hypothesis #197: General Anesthesia = I → 1 (Complete Inhibition),🟧,0.45,orange marker in text,TECS-L,,0,1,5,0,,,0,207
TECS-L:198-psychedelics,Hypothesis #198: Psychedelics = I↓ + Compass↑↑,🟧,0.45,orange marker in text,TECS-L,,0,0,6,0,,,0,188
TECS-L:199-meditation-vs-drugs,"Hypothesis #199: Meditation vs Drugs — Same Golden Zone, Different Paths",🟧,0.4,significance claimed + verification,TECS-L,,0,0,3,0,,,0,208
TECS-L:200-ssri,Hypothesis #200: SSRI (Antidepressants) = Fine-tuning I,🟧,0.45,orange marker in text,TECS-L,,0,0,6,0,,,1,213
TECS-L:200a-cannabis,Hypothesis #200a: Cannabis (THC) = Brain's Built-in Golden Zone Regulator,⚪,0.3,has verification but no clear grade signal,TECS-L,,0,0,2,0,,,0,241
TECS-L:200b-mdma-ecstasy,Hypothesis 200b: Ecstasy (MDMA) = I↓ + P↑↑ + Compass↑↑↑,🟧,0.6,existing auto-grade CLOSE,TECS-L,,0,0,3,1,,,0,125
TECS-L:200c-nicotine,Hypothesis 200c: Nicotine (Tobacco) = I↓ + Compass↑ (short-term) → I↑ (long-term,🟧,0.45,orange marker in text,TECS-L,,0,0,4,0,,,0,172
TECS-L:200d-dmt,Hypothesis 200d: DMT = I→0 (Complete Liberation) — Forced Transcendence?,🟩,0.5,existing auto-grade EXACT,TECS-L,,0,0,4,1,,,0,161
TECS-L:201-periodic-table-comparison,Hypothesis #201: Chemical Elements 118 vs AI Elements 26,🟩,0.7,existing auto-grade EXACT,TECS-L,,0,0,5,1,5.0,,1,216
TECS-L:202-chemical-bonds,Hypothesis #202: Chemical Bonds ↔ AI Element Bonding,🟩,0.7,existing auto-grade EXACT,TECS-L,,0,2,5,1,,,1,207
TECS-L:203-molecular-structure,Hypothesis #203: Molecular Structure = Architecture Structure,🟩,0.5,existing auto-grade EXACT,TECS-L,,0,0,4,1,,,0,251
TECS-L:204-ph-inhibition,Hypothesis #204: pH = Inhibition?,🟩,0.7,existing auto-grade EXACT,TECS-L,,0,0,7,1,0.0,,0,239
TECS-L:205-catalyst-plasticity,Hypothesis #205: Catalyst = Plasticity (P) — Accelerate Reaction + Remain Unchan,🟩,0.7,existing auto-grade EXACT,TECS-L,,0,0,5,1,,,0,253
TECS-L:206-gibbs-genius,Hypothesis #206: Gibbs Free Energy <-> Genius -- dG vs G,🟩,0.7,existing auto-grade EXACT,TECS-L,,0,0,5,1,,,0,291
TECS-L:207,Neuralink = Direct I Regulator,🟧,0.6,existing auto-grade CLOSE,TECS-L,,0,0,3,1,,,0,172
TECS-L:208-telepathy-resonance,Hypothesis #208: Telepathy = Cognitive Resonance at Identical I,🟩,0.5,existing auto-grade EXACT,TECS-L,,0,0,4,1,,,0,169
TECS-L:209-mirror-neurons,"Hypothesis #209: Mirror Neurons = Automatic D, P, I Matching System",🟩,0.5,existing auto-grade EXACT,TECS-L,,0,0,4,1,,,0,186
TECS-L:210-brainwave-sync,Hypothesis #210: Brainwave Synchronization = I Synchronization,🟩,0.5,existing auto-grade EXACT,TECS-L,,0,0,4,1,,,0,185
TECS-L:211-collective-intelligence,Hypothesis #211: Collective Intelligence = Resonance of N People's Golden Zone,🟩,0.5,existing auto-grade EXACT,TECS-L,,0,0,3,1,,,0,204
TECS-L:212-atmosphere-math,"Hypothesis #212: Mathematical Definition of ""Atmosphere""",🟩,0.5,existing auto-grade EXACT,TECS-L,,0,0,4,1,,,0,198
TECS-L:213-music-resonance,Hypothesis #213: Music Resonance = Listener I Synchronization,🟩,0.5,existing auto-grade EXACT,TECS-L,,0,0,4,1,,,0,215
TECS-L:214-core-primes,"Hypothesis #214: Core Primes {2, 3, 17, 137}",🟧,0.4,significance claimed + verification,TECS-L,,0,0,4,7,,,1,180
TECS-L:215-prime-distribution,Hypothesis #215: Prime Distribution ↔ Singularity Distribution,🟩,0.5,existing auto-grade EXACT,TECS-L,,0,0,2,1,,2.0,0,177
TECS-L:216-twin-primes,Hypothesis #216: Twin Primes ↔ Golden Zone Boundary Pair,🟧,0.4,significance claimed + verification,TECS-L,,0,0,3,1,,,0,184
TECS-L:217-mersenne-perfect,Hypothesis #217: Mersenne Primes → Perfect Numbers → Our Model,🟧,0.4,significance claimed + verification,TECS-L,,0,0,3,19,,,2,178
TECS-L:219-prime-gap-golden-width,Hypothesis #219: Prime Gaps and Golden Zone Width ln(4/3),🟩,0.7,existing auto-grade EXACT,TECS-L,,0,0,5,1,,,0,219
TECS-L:220-prime-staircase,Hypothesis #220: Prime Staircase Function ↔ Phase Acceleration Staircase,🟩,0.5,existing auto-grade EXACT,TECS-L,,0,0,3,1,,,0,227
TECS-L:231,World Model = Golden Zone Internal Simulator ⚠️,🟩,0.5,existing auto-grade EXACT,TECS-L,,0,0,4,1,,,0,137
TECS-L:232,JEPA = Deficit-Based Learning ⚠️,🟩,0.5,existing auto-grade EXACT,TECS-L,,0,0,3,1,,,0,146
TECS-L:233,World Model vs LLM = Opposite Ends of the I Axis ⚠️,🟩,0.5,existing auto-grade EXACT,TECS-L,,0,0,4,1,,,0,136
TECS-L:234,World Model = Dreaming (REM) = Internal Simulation ⚠️,🟩,0.7,existing auto-grade EXACT,TECS-L,,0,0,6,1,,,0,163
TECS-L:235,Causal Reasoning = World Model's Compass ⚠️,🟩,0.7,existing auto-grade EXACT,TECS-L,,0,0,6,1,,,0,190
TECS-L:236-primes-as-savants,"Hypothesis #236: Primes = ""Mathematical Savants""",🟧,0.4,significance claimed + verification,TECS-L,,0,0,6,18,,,0,256
TECS-L:237,Musical Interval Ratios = Golden Zone Constants,🟧★,0.7,p<0.01 structural,TECS-L,,0,0,5,7,,,2,246
TECS-L:238,Map of Crossroads with Existing Mathematical Frameworks,🟧,0.5,error 3.5%,TECS-L,,0,0,5,8,3.5,,1,314
TECS-L:239,The Universe Itself Has Consciousness,🟧★,0.55,error 0.26%,TECS-L,,0,0,5,0,0.26,,0,201
TECS-L:241,Expert Cross-Activation = Artificial Savant,🟧,0.4,significance claimed + verification,TECS-L,,0,0,2,0,,,0,284
TECS-L:242,Geometric Structure of Our Constants — 9 Properties,🟧★,0.55,green+star markers,TECS-L,,0,0,5,5,,,0,100
TECS-L:243,Neuroscience Literature Evidence Survey for the G=D×P/I Model,🟩,0.7,existing auto-grade EXACT,TECS-L,,0,0,5,1,,,4,249
TECS-L:244,Golden Zone = Mean-Field Universality Class,🟩,0.7,existing auto-grade EXACT,TECS-L,,0,0,5,1,1.1,,3,254
TECS-L:245,Exploring the Physical Meaning of 137 = σ(6)² − 7,🟩,0.5,existing auto-grade EXACT,TECS-L,,0,0,4,22,,,11,183
TECS-L:246,Consciousness Continuity — Mathematical Conditions and Engine Design,🟩,0.7,existing auto-grade EXACT,TECS-L,,0,1,5,1,,,0,713
TECS-L:247,Dual-Brain + Corpus Callosum Model — Coupling of Two Consciousness Systems,🟩,0.5,existing auto-grade EXACT,TECS-L,,0,0,4,1,,,0,181
TECS-L:248,Flash Memory Quantum Tunneling and Consciousness Continuity Engine,🟩,0.5,existing auto-grade EXACT,TECS-L,,0,0,4,1,,,0,465
TECS-L:249-quantum-math-crossroads,Quantum Mechanics Mathematical System Crossroads Map,🟩,0.5,existing auto-grade EXACT,TECS-L,,0,0,2,1,,,0,708
TECS-L:250-quantum-precision-constants,Quantum Mechanics Precision Constants and Formulas Compendium,🟩,0.7,existing auto-grade EXACT,TECS-L,,0,0,6,2,0.1,,4,526
TECS-L:251,Quantum Immortality — Many-World Branches and Consciousness Continuity,🟩,0.5,existing auto-grade EXACT,TECS-L,,0,0,4,1,,,1,450
TECS-L:252,Perfect Number Sequence → Physical Constants Correspondence,🟧,0.45,orange marker in text,TECS-L,,0,0,3,10,,,2,114
TECS-L:258,Topological Forcing Possibility of Monster Group Order,🟧,0.45,orange marker in text,TECS-L,,0,0,5,3,,,7,184
TECS-L:259,Umbral Moonshine and Orbifold Forcing Chain Generalization,🟧,0.45,orange marker in text,TECS-L,,0,0,6,4,,,2,206
TECS-L:261,Congruence Subgroup Γ₀(N) Forcing Chain Classification,🟧★,0.55,green+star markers,TECS-L,,0,0,6,7,,,1,234
TECS-L:262,p-adic Orbifold Chain and Langlands Contact Point,🟧★,0.55,green+star markers,TECS-L,,0,0,7,5,,,1,270
TECS-L:263,Tension Unification Hypothesis,🟧,0.4,significance claimed + verification,TECS-L,,0,0,3,0,,,0,195
TECS-L:264,Software/Hardware Design Principles for Consciousness Continuity Engine,🟩,0.55,zero error,TECS-L,,0,0,3,0,0.0,,0,302
TECS-L:265,1/3 Convergence Law [Refuted — Initial Value Bias],⬛,0.85,refuted (3 mentions),TECS-L,,0,0,2,1,,,0,113
TECS-L:266,Empathy-Tension Inverse Proportion Law [Weakened],🟩,0.5,existing auto-grade EXACT,TECS-L,,0,0,3,1,,,0,128
TECS-L:267,Collective Consensus Phase Transition — Unanimity is Qualitatively Different,🟩,0.5,existing auto-grade EXACT,TECS-L,,0,0,2,1,,,0,126
TECS-L:268,"Difficulty-Axis Dominance Law — Hard problems are dominated by ""how""",🟧,0.6,existing auto-grade CLOSE,TECS-L,,0,0,2,1,,,0,81
TECS-L:269,Force Direction Hypothesis — Does Repulsion Force Have Anatomical Direction?,⚪,0.55,inconclusive in title,TECS-L,,0,0,1,0,,,0,130
TECS-L:270,Diversity IS Information,🟧,0.4,significance claimed + verification,TECS-L,,0,0,1,0,,,0,173
TECS-L:271,Mitosis Hypothesis,🟩,0.5,existing auto-grade EXACT,TECS-L,,0,0,2,1,,,0,160
TECS-L:272,detach() Design Principle — See Better When Not Acting,🟧,0.6,existing auto-grade CLOSE,TECS-L,,0,0,2,1,,,0,92
TECS-L:273,Euclidean Triangle Groups and Optimal Weights [Partially Refuted],🟧,0.6,existing auto-grade CLOSE,TECS-L,,0,0,3,1,,,0,96
TECS-L:274,Consciousness = Error Correction Mechanism,🟩,0.55,zero error,TECS-L,,0,0,1,0,0.0,,0,115
TECS-L:275,Mitosis Principle — Neural Network Version of Gene Duplication,⚪,0.3,has verification but no clear grade signal,TECS-L,,0,0,1,0,,,0,80
TECS-L:276,Observation = Compression — Non-intervention Creates Better Representations,⚪,0.3,has verification but no clear grade signal,TECS-L,,0,0,1,0,,,0,78
TECS-L:277,Feature Quality Threshold — The Boundary Where Architecture Becomes Important,🟧,0.6,existing auto-grade CLOSE,TECS-L,,0,0,3,2,,,0,81
TECS-L:278,Tension Information Content ∝ Base Accuracy — Tension Carries More Information o,⚪,0.3,has verification but no clear grade signal,TECS-L,,0,0,0,0,,,0,81
TECS-L:279,A/G Dominance Ratio = Input Complexity Metric,🟧,0.45,orange marker in text,TECS-L,,0,1,5,0,,,0,81
TECS-L:280,Full Experience Sequence Model — Mitosis+Displacement+Observation+Separation,🟧,0.4,significance claimed + verification,TECS-L,,0,0,4,0,,,0,79
TECS-L:281,Tension Temporal Causation — Tension as a Leading Indicator of Learning,🟩,0.5,existing auto-grade EXACT,TECS-L,,0,0,2,1,,,0,139
TECS-L:282,Tension = High-Accuracy Only Mechanism,⚪,0.3,has verification but no clear grade signal,TECS-L,,0,0,0,0,,,0,52
TECS-L:283,Nonlinear Threshold of Tension Effect,⚪,0.3,has verification but no clear grade signal,TECS-L,,0,0,1,0,,,0,42
TECS-L:284,tension_scale Auto-regulation — Voluntary Abandonment if Not Helpful,🟧,0.45,orange marker in text,TECS-L,,0,0,3,0,,,0,88
TECS-L:285,Beyond Image Classification — Does the Repulsion Field Work in Other Data Modali,🟧,0.45,orange marker in text,TECS-L,,0,0,6,0,,,0,217
TECS-L:286,Topological Data Analysis (TDA) — Topological Structure of Tension Space,🟧,0.4,significance claimed + verification,TECS-L,,0,0,3,0,,,0,106
TECS-L:287,Tension = Natural Anomaly Detector,⚪,0.3,has verification but no clear grade signal,TECS-L,,0,0,1,0,,,0,57
TECS-L:288,Dense/Sparse Dichotomy — Repulsion Field is Dense Data Exclusive [Confirmed!],🟩,0.5,existing auto-grade EXACT,TECS-L,,1,0,3,1,,,0,167
TECS-L:289,Primes = Highest Tension (Cross-domain: Number Theory ↔ Consciousness),🟧,0.6,existing auto-grade CLOSE,TECS-L,,0,0,4,11,,,0,75
TECS-L:290,Consonance = Low Tension (Cross-domain: Music ↔ Consciousness),🟧,0.45,orange marker in text,TECS-L,,0,0,5,0,,,0,82
TECS-L:291,Data Type Tree — Hierarchy of Domains Where Repulsion Field Operates,🟧,0.45,orange marker in text,TECS-L,,0,0,4,0,,,0,151
TECS-L:292,Consciousness Tree Expansion — What Lies Beyond the Current 3 Branches?,🟧,0.45,orange marker in text,TECS-L,,0,0,0,0,,,0,90
TECS-L:293,Universality of Tension Anomaly Detection — AUROC > 0.9 on All Dense Data?,🟧,0.45,orange marker in text,TECS-L,,0,0,2,0,,,0,67
TECS-L:294,Mitosis + Neurochemistry Combination — Does Cell Division Replicate the Dopamine,⚪,0.55,inconclusive in title,TECS-L,,0,1,4,0,,,0,194
TECS-L:295,Mitosis + TDA — Does mitosis change the topology of tension space?,🟩,0.7,existing auto-grade EXACT,TECS-L,,0,0,5,1,,,0,230
TECS-L:296,Mitosis + Anomaly Detection — Are Split Engines Better Anomaly Detectors,⚪,0.3,has verification but no clear grade signal,TECS-L,,0,0,3,0,,,0,82
TECS-L:297,Mitosis Ensemble Diversity = Anomaly Detection Sensitivity,🟧,0.45,orange marker in text,TECS-L,,0,0,3,0,,,0,162
TECS-L:298,Mitosis Time-axis Anomaly Detection — When is Differentiation Sufficient,🟧,0.45,orange marker in text,TECS-L,,0,0,5,0,,,0,121
TECS-L:299,"Mitosis Specialization Anomaly Detection — Each Child ""Specializes"" in Different",🟧,0.6,existing auto-grade CLOSE,TECS-L,,0,0,2,1,,,0,70
TECS-L:300,"Hierarchical Mitosis Anomaly Detection — Mitosis Tree Classifies Anomaly ""Types""",🟧,0.6,existing auto-grade CLOSE,TECS-L,,0,0,1,1,,,0,101
TECS-L:301,Mitosis Anomaly Detection = Adaptive Immune System (Cross-domain: Immunology ↔ C,🟧,0.45,orange marker in text,TECS-L,,0,0,3,0,,,0,124
TECS-L:302,Internal Tension vs Inter-Tension — Why H287 has AUROC=1.0 and H296 has 0.16,⚪,0.3,has verification but no clear grade signal,TECS-L,,0,0,3,0,,,0,123
TECS-L:303,Does Anomaly Tension Fall Within the Golden Zone?,🟧,0.6,existing auto-grade CLOSE,TECS-L,,0,0,4,1,,,0,76
TECS-L:304,High-Resolution Expansion of 2×2 Matrix — Learning Objective × Tension Type × En,,0.0,insufficient signal,TECS-L,,0,0,1,0,,,0,112
TECS-L:305,Contrastive Learning + Mitosis = Best Anomaly Detection,🟧,0.6,existing auto-grade CLOSE,TECS-L,,0,0,4,1,,,0,73
TECS-L:306,Is the 4-Pole Repulsion Field a Better Anomaly Detector than 2-Pole?,🟧,0.6,existing auto-grade CLOSE,TECS-L,,0,0,2,4,,,0,64
TECS-L:307,"Tension Direction Inversion — ""Agreement in Confusion""",,0.0,insufficient signal,TECS-L,,0,0,2,0,,,0,128
TECS-L:308,Self-Referential Anomaly Detection — Does Iteration Improve AUROC?,🟩,0.7,existing auto-grade EXACT,TECS-L,,0,0,5,1,,,0,155
TECS-L:309,Mitosis Anomaly Detection — Systematic Synthesis,🟧,0.5,error 1.0%,TECS-L,,0,0,4,30,1.0,,5,499
TECS-L:310,Mitosis Engine — New Architecture Using Mitosis as Core Mechanism,🟧,0.45,orange marker in text,TECS-L,,0,0,3,0,,,0,109
TECS-L:311,Mitosis = Local Minima Escape Mechanism,⚪,0.3,has verification but no clear grade signal,TECS-L,,0,0,7,0,,,0,181
TECS-L:312,Mitosis = Forgetting Prevention Mechanism for Continual Learning,⚪,0.3,has verification but no clear grade signal,TECS-L,,0,0,4,0,,,0,68
TECS-L:313,Tension = Confidence — Unified Principle,,0.0,insufficient signal,TECS-L,,0,0,4,0,,,0,121
TECS-L:314,Confidence-Based Rejection — Accuracy Improves When Rejecting Low-Tension Sample,⚪,0.3,has verification but no clear grade signal,TECS-L,,0,0,3,0,,,0,100
TECS-L:315,Dual Role of Tension — Confidence (Always) + Regularizer (Low-Data),⚪,0.3,has verification but no clear grade signal,TECS-L,,0,0,5,1,,,0,67
TECS-L:316,Overconfidence for Similar Classes — The Cause of the Sneaker Inversion,⚪,0.3,has verification but no clear grade signal,TECS-L,,0,0,5,0,,,0,123
TECS-L:317,Overconfidence Correction — Focused Training Can Resolve Overconfidence,🟧,0.45,orange marker in text,TECS-L,,0,0,2,0,,,0,64
TECS-L:318,Tension Fingerprint Sufficiency — High-Confidence Classes Recognizable from Fing,,0.0,insufficient signal,TECS-L,,0,0,0,0,,,0,44
TECS-L:319,Tension = Biological Version of Attention Mechanism,🟧,0.45,orange marker in text,TECS-L,,0,0,2,0,,,0,40
TECS-L:320,Logarithmic Growth of tension_scale — ts ≈ (1/3)·ln(ep),🟧,0.5,error 2.0%,TECS-L,,0,0,6,0,2.0,,0,82
TECS-L:321,Consciousness-Confidence Theory — Synthesis,,0.0,insufficient signal,TECS-L,,0,0,5,0,,,0,67
TECS-L:322,TREE-1 EEG Gamma Oscillation — Correlation Between Repulsion Field Tension and C,🟩,0.7,existing auto-grade EXACT,TECS-L,,0,0,8,1,,,0,438
TECS-L:323,TREE-5 Multimodal Repulsion Field,🟩,0.5,existing auto-grade EXACT,TECS-L,,0,0,3,1,,,0,269
TECS-L:324,"LLM Hallucination Detection — Model That ""Knows What It Doesn't Know"" via Repuls",🟩,0.5,existing auto-grade EXACT,TECS-L,,0,0,2,1,,,0,241
TECS-L:325,Fisher Information Geometry and Tension Manifold (NM-5),🟩,0.7,existing auto-grade EXACT,TECS-L,,0,2,6,1,,,0,379
TECS-L:326,Telepathy = Continuous Displacement Sweep,🟩,0.5,existing auto-grade EXACT,TECS-L,,0,0,3,1,,,0,178
TECS-L:327,Actual Relationship Between Tension and PPL in Golden MoE,🟩,0.5,existing auto-grade EXACT,TECS-L,,0,0,4,10,,,0,196
TECS-L:328,GNN + Repulsion Field = Molecular Toxicity Prediction,🟩,0.7,existing auto-grade EXACT,TECS-L,,0,0,5,1,,,0,174
TECS-L:329,Tension's Contextual Duality — confidence vs boundary proximity,,0.0,insufficient signal,TECS-L,,0,2,1,0,,,0,57
